Subject,Start Date,End Date,Talk Deadline,Location,Website URL,Proposal URL
Utility Analytics Summit,2023-04-04,2023-04-06,,"Kansas City, Missouri, United States of America",https://www.utilityanalyticssummit.com,
INFORMS Business Analytics Conference,2023-04-16,2023-04-18,2022-12-15,"Aurora, Colorado, United States of America",https://meetings.informs.org/wordpress/analytics2023,https://meetings.informs.org/wordpress/analytics2023/submit
National Planning Conference,2023-04-26,2023-04-28,,"Philadelphia, Pennsylvania, United States of America",https://www.planning.org/conference,
JupyterCon,2023-05-10,2023-05-12,,"Paris, ÃŽle-de-France, France",https://www.jupytercon.com,
APPA National Conference,2023-06-16,2023-06-21,,"Seattle, Washington, United States of America",https://www.publicpower.org/event/national-conference,
FOSS4G,2023-06-26,2023-07-02,2023-02-28,"Prizren, Prizren, Kosovo",https://2023.foss4g.org,
FMEA Annual Conference,2023-07-18,2023-07-20,,"St. Petersburg, Florida, United States of America",https://www.flpublicpower.com/events/fmea-annual-conference,
Florida Planning Conference ,2023-09-05,2023-09-08,,"Jacksonville, Florida, United States of America",https://floridaplanningconference.org,
Write the Docs Atlantic,2023-09-10,2023-09-12,,Online,https://www.writethedocs.org/conf/atlantic/2023,
INFORMS Annual Meeting,2023-10-15,2023-10-18,2023-05-16,"Phoenix, Arizona, United States of America",https://meetings.informs.org/wordpress/phoenix2023,https://meetings.informs.org/wordpress/phoenix2023/submit
NeurIPS,2023-12-10,2023-12-16,2023-04-27,"New Orleans, Louisiana, United States of America",https://nips.cc,
